date,value
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,2
2020-02-26,0
2020-02-27,1
2020-02-28,0
2020-02-29,6
2020-03-01,5
2020-03-02,4
2020-03-03,3
2020-03-04,8
2020-03-05,12
2020-03-06,14
2020-03-07,24
2020-03-08,25
2020-03-09,27
2020-03-10,51
2020-03-11,64
2020-03-12,56
2020-03-13,202
2020-03-14,151
2020-03-15,205
2020-03-16,158
2020-03-17,314
2020-03-18,314
2020-03-19,367
2020-03-20,375
2020-03-21,426
2020-03-22,768
2020-03-23,892
2020-03-24,809
2020-03-25,305
2020-03-26,1321
2020-03-27,748
2020-03-28,614
2020-03-29,517
2020-03-30,830
2020-03-31,562
2020-04-01,531
2020-04-02,418
2020-04-03,395
2020-04-04,257
2020-04-05,270
2020-04-06,246
2020-04-07,342
2020-04-08,303
2020-04-09,302
2020-04-10,311
2020-04-11,251
2020-04-12,139
2020-04-13,96
2020-04-14,185
2020-04-15,110
2020-04-16,140
2020-04-17,119
2020-04-18,76
2020-04-19,78
2020-04-20,46
