date,value
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,0
2020-02-28,0
2020-02-29,1
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,2
2020-03-05,0
2020-03-06,9
2020-03-07,0
2020-03-08,7
2020-03-09,5
2020-03-10,6
2020-03-11,7
2020-03-12,14
2020-03-13,99
2020-03-14,0
2020-03-15,11
2020-03-16,38
2020-03-17,121
2020-03-18,51
2020-03-19,249
2020-03-20,172
2020-03-21,228
2020-03-22,525
2020-03-23,378
2020-03-24,323
2020-03-25,307
2020-03-26,431
2020-03-27,432
2020-03-28,487
2020-03-29,352
2020-03-30,323
2020-03-31,1138
2020-04-01,1119
2020-04-02,1208
2020-04-03,1012
2020-04-04,1304
2020-04-05,770
2020-04-06,1031
2020-04-07,1873
2020-04-08,2136
2020-04-09,1922
2020-04-10,1546
2020-04-11,1089
2020-04-12,1465
2020-04-13,1238
2020-04-14,1832
2020-04-15,3058
2020-04-16,2105
2020-04-17,3257
2020-04-18,2976
2020-04-19,1996
2020-04-20,2089
2020-04-21,2336
2020-04-22,2678
2020-04-23,4279
2020-04-24,4007
2020-04-25,5281
2020-04-26,3776
