date,value
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,2
2020-01-27,0
2020-01-28,3
2020-01-29,0
2020-01-30,4
2020-01-31,4
2020-02-01,5
2020-02-02,0
2020-02-03,0
2020-02-04,2
2020-02-05,0
2020-02-06,0
2020-02-07,3
2020-02-08,0
2020-02-09,1
2020-02-10,0
2020-02-11,0
2020-02-12,2
2020-02-13,0
2020-02-14,1
2020-02-15,14
2020-02-16,16
2020-02-17,7
2020-02-18,8
2020-02-19,10
2020-02-20,10
2020-02-21,11
2020-02-22,17
2020-02-23,25
2020-02-24,12
2020-02-25,11
2020-02-26,19
2020-02-27,25
2020-02-28,14
2020-02-29,13
2020-03-01,15
2020-03-02,18
2020-03-03,19
2020-03-04,38
2020-03-05,29
2020-03-06,60
2020-03-07,41
2020-03-08,41
2020-03-09,9
2020-03-10,70
2020-03-11,58
2020-03-12,0
2020-03-13,62
2020-03-14,72
2020-03-15,66
2020-03-16,0
2020-03-17,39
2020-03-18,11
2020-03-19,35
2020-03-20,39
2020-03-21,44
2020-03-22,94
2020-03-23,27
2020-03-24,65
2020-03-25,114
2020-03-26,80
2020-03-27,81
2020-03-28,225
2020-03-29,173
2020-03-30,0
2020-03-31,87
2020-04-01,225
2020-04-02,317
2020-04-03,122
2020-04-04,522
2020-04-05,0
2020-04-06,515
2020-04-07,252
2020-04-08,351
2020-04-09,410
2020-04-10,863
2020-04-11,475
2020-04-12,743
2020-04-13,622
2020-04-14,275
2020-04-15,455
2020-04-16,526
2020-04-17,1161
2020-04-18,509
2020-04-19,501
2020-04-20,0
2020-04-21,338
2020-04-22,377
2020-04-23,856
2020-04-24,461
2020-04-25,402
2020-04-26,210
