date,value
2020-01-23,0
2020-01-24,1
2020-01-25,0
2020-01-26,1
2020-01-27,1
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,7
2020-02-01,1
2020-02-02,3
2020-02-03,0
2020-02-04,1
2020-02-05,3
2020-02-06,4
2020-02-07,1
2020-02-08,0
2020-02-09,1
2020-02-10,2
2020-02-11,1
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,0
2020-02-20,73
2020-02-21,100
2020-02-22,229
2020-02-23,169
2020-02-24,231
2020-02-25,144
2020-02-26,284
2020-02-27,505
2020-02-28,571
2020-02-29,813
2020-03-01,586
2020-03-02,599
2020-03-03,851
2020-03-04,435
2020-03-05,467
2020-03-06,505
2020-03-07,448
2020-03-08,273
2020-03-09,164
2020-03-10,35
2020-03-11,242
2020-03-12,114
2020-03-13,110
2020-03-14,107
2020-03-15,76
2020-03-16,74
2020-03-17,84
2020-03-18,93
2020-03-19,152
2020-03-20,87
2020-03-21,147
2020-03-22,162
2020-03-23,0
2020-03-24,76
2020-03-25,100
2020-03-26,104
2020-03-27,91
2020-03-28,146
2020-03-29,105
2020-03-30,78
2020-03-31,125
2020-04-01,101
2020-04-02,89
2020-04-03,86
2020-04-04,94
2020-04-05,81
2020-04-06,47
2020-04-07,47
2020-04-08,53
2020-04-09,39
2020-04-10,27
2020-04-11,30
2020-04-12,32
2020-04-13,25
2020-04-14,27
2020-04-15,27
2020-04-16,22
2020-04-17,22
2020-04-18,18
2020-04-19,8
2020-04-20,13
