date,value
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,2
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,1
2020-03-03,0
2020-03-04,0
2020-03-05,1
2020-03-06,9
2020-03-07,0
2020-03-08,4
2020-03-09,0
2020-03-10,3
2020-03-11,0
2020-03-12,8
2020-03-13,17
2020-03-14,14
2020-03-15,4
2020-03-16,27
2020-03-17,24
2020-03-18,33
2020-03-19,52
2020-03-20,54
2020-03-21,53
2020-03-22,61
2020-03-23,71
2020-03-24,57
2020-03-25,163
2020-03-26,182
2020-03-27,196
2020-03-28,228
2020-03-29,270
2020-03-30,302
2020-03-31,501
2020-04-01,440
2020-04-02,771
2020-04-03,601
2020-04-04,582
2020-04-05,658
2020-04-06,954
2020-04-07,1154
2020-04-08,1175
2020-04-09,1459
2020-04-10,1786
2020-04-11,1667
2020-04-12,2186
2020-04-13,2558
2020-04-14,2774
2020-04-15,3388
2020-04-16,3448
2020-04-17,4070
2020-04-18,4785
2020-04-19,6060
2020-04-20,4268
2020-04-21,5642
2020-04-22,5236
2020-04-23,4774
2020-04-24,5849
2020-04-25,5966
2020-04-26,6361
