date,value
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,1
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,1
2020-02-27,5
2020-02-28,0
2020-02-29,5
2020-03-01,2
2020-03-02,1
2020-03-03,6
2020-03-04,14
2020-03-05,59
2020-03-06,7
2020-03-07,60
2020-03-08,42
2020-03-09,45
2020-03-10,107
2020-03-11,145
2020-03-12,99
2020-03-13,215
2020-03-14,147
2020-03-15,61
2020-03-16,81
2020-03-17,87
2020-03-18,89
2020-03-19,160
2020-03-20,200
2020-03-21,124
2020-03-22,171
2020-03-23,112
2020-03-24,240
2020-03-25,240
2020-03-26,314
2020-03-27,229
2020-03-28,378
2020-03-29,253
2020-03-30,328
2020-03-31,407
2020-04-01,512
2020-04-02,621
2020-04-03,563
2020-04-04,312
2020-04-05,387
2020-04-06,376
2020-04-07,487
2020-04-08,726
2020-04-09,722
2020-04-10,544
2020-04-11,466
2020-04-12,332
2020-04-13,465
2020-04-14,497
2020-04-15,482
2020-04-16,613
2020-04-17,676
2020-04-18,606
2020-04-19,563
2020-04-20,392
2020-04-21,545
2020-04-22,682
2020-04-23,751
2020-04-24,812
2020-04-25,610
2020-04-26,463
