date,value
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,1
2020-02-26,0
2020-02-27,7
2020-02-28,0
2020-02-29,10
2020-03-01,9
2020-03-02,15
2020-03-03,14
2020-03-04,34
2020-03-05,24
2020-03-06,100
2020-03-07,54
2020-03-08,69
2020-03-09,37
2020-03-10,117
2020-03-11,161
2020-03-12,0
2020-03-13,487
2020-03-14,220
2020-03-15,841
2020-03-16,0
2020-03-17,500
2020-03-18,328
2020-03-19,1047
2020-03-20,1219
2020-03-21,1281
2020-03-22,899
2020-03-23,1321
2020-03-24,1082
2020-03-25,1020
2020-03-26,914
2020-03-27,1117
2020-03-28,1148
2020-03-29,753
2020-03-30,1093
2020-03-31,683
2020-04-01,1163
2020-04-02,1059
2020-04-03,779
2020-04-04,899
2020-04-05,595
2020-04-06,557
2020-04-07,596
2020-04-08,1027
2020-04-09,771
2020-04-10,500
2020-04-11,556
2020-04-12,308
2020-04-13,273
2020-04-14,248
2020-04-15,400
2020-04-16,396
2020-04-17,346
2020-04-18,326
2020-04-19,336
2020-04-20,204
