date,value
2020-01-23,0
2020-01-24,2
2020-01-25,0
2020-01-26,1
2020-01-27,1
2020-01-28,3
2020-01-29,0
2020-01-30,1
2020-01-31,1
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,1
2020-02-05,0
2020-02-06,5
2020-02-07,0
2020-02-08,1
2020-02-09,1
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,2
2020-02-17,2
2020-02-18,0
2020-02-19,1
2020-02-20,1
2020-02-21,2
2020-02-22,0
2020-02-23,2
2020-02-24,2
2020-02-25,1
2020-02-26,1
2020-02-27,0
2020-02-28,2
2020-02-29,5
2020-03-01,1
2020-03-02,1
2020-03-03,1
2020-03-04,0
2020-03-05,2
2020-03-06,1
2020-03-07,0
2020-03-08,0
2020-03-09,0
2020-03-10,2
2020-03-11,1
2020-03-12,1
2020-03-13,1
2020-03-14,3
2020-03-15,6
2020-03-16,8
2020-03-17,10
2020-03-18,23
2020-03-19,8
2020-03-20,27
2020-03-21,18
2020-03-22,16
2020-03-23,26
2020-03-24,20
2020-03-25,20
2020-03-26,17
2020-03-27,15
2020-03-28,16
2020-03-29,15
2020-03-30,8
2020-03-31,16
2020-04-01,7
2020-04-02,10
2020-04-03,9
2020-04-04,7
2020-04-05,8
2020-04-06,10
2020-04-07,3
2020-04-08,3
2020-04-09,1
2020-04-10,2
2020-04-11,3
2020-04-12,3
2020-04-13,5
2020-04-14,0
2020-04-15,2
2020-04-16,0
2020-04-17,0
2020-04-18,3
2020-04-19,22
2020-04-20,2
2020-04-21,3
2020-04-22,1
2020-04-23,1
2020-04-24,1
2020-04-25,1
2020-04-26,0
