date,value
2020-01-23,0
2020-01-24,1
2020-01-25,0
2020-01-26,3
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,2
2020-02-01,1
2020-02-02,0
2020-02-03,3
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,1
2020-02-12,0
2020-02-13,1
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,2
2020-02-22,0
2020-02-23,0
2020-02-24,36
2020-02-25,0
2020-02-26,6
2020-02-27,1
2020-02-28,2
2020-02-29,8
2020-03-01,6
2020-03-02,24
2020-03-03,20
2020-03-04,31
2020-03-05,68
2020-03-06,45
2020-03-07,140
2020-03-08,116
2020-03-09,65
2020-03-10,376
2020-03-11,322
2020-03-12,382
2020-03-13,516
2020-03-14,548
2020-03-15,772
2020-03-16,1133
2020-03-17,1789
2020-03-18,1362
2020-03-19,5964
2020-03-20,5526
2020-03-21,6327
2020-03-22,7676
2020-03-23,10567
2020-03-24,9893
2020-03-25,12042
2020-03-26,18058
2020-03-27,17821
2020-03-28,19808
2020-03-29,19444
2020-03-30,20922
2020-03-31,26341
2020-04-01,25070
2020-04-02,30380
2020-04-03,31745
2020-04-04,33283
2020-04-05,28152
2020-04-06,29515
2020-04-07,30804
2020-04-08,31533
2020-04-09,34126
2020-04-10,33755
2020-04-11,29861
2020-04-12,28917
2020-04-13,25306
2020-04-14,27051
2020-04-15,28680
2020-04-16,31242
2020-04-17,32114
2020-04-18,32491
2020-04-19,26612
2020-04-20,25517
2020-04-21,27539
2020-04-22,28486
2020-04-23,28819
2020-04-24,36188
2020-04-25,32796
2020-04-26,27631
